,Index,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,2,3035673780,4027576560,26,0.5366897,0.6096718,0.6063152,Failed
1,0,3035673780,4027576560,26,0.5366897,0.6096718,0.6063152,0
2,3,3035673780,4031508660,23,0.5017529,0.6096718,0.6063152,Failed
3,6,3035673780,4042272240,24,0.4460937,0.6096718,0.6063152,Failed
4,0,3035673780,3538955760,22,0.30742392,0.6096718,0.6063152,Failed
5,7,3035673780,517136850,19,0.29073647,0.6096718,0.6063152,Failed
6,4,3035673780,4039315215,6,0.27731505,0.6096718,0.6063152,Failed
7,1,2273806215,4031508660,15,0.2547935,0.6096718,0.6063152,Failed
8,5,2273806215,517136850,13,0.20251518,0.6096718,0.6063152,Failed
9,0,2018212020,2019194970,18,0.201088,0.6096718,0.6063152,Failed
10,5,3035673780,4041289185,3,0.19941096,0.6096718,0.6063152,Failed
11,6,2018212020,3035673780,18,0.19661947,0.6096718,0.6063152,Failed
12,2,2018212020,2777130375,6,0.18098575,0.6096718,0.6063152,Failed
13,4,2273806215,4042272240,14,0.16183868,0.6096718,0.6063152,Failed
14,9,2777130375,3035673780,9,0.1561524,0.6096718,0.6063152,Failed
15,7,2777130375,3027809415,2,0.15039851,0.6096718,0.6063152,Failed
16,8,2777130375,3035673615,3,0.15039851,0.6096718,0.6063152,Failed
17,3,2018212020,2783028705,5,0.13137406,0.6096718,0.6063152,Failed
18,0,2273806215,4027576560,15,0.12050987,0.6096718,0.6063152,Failed
19,6,2777130375,2783028705,3,0.032726504,0.6096718,0.6063152,Failed
20,1,3035673780,3785744805,4,0.029410465,0.6096718,0.6063152,Failed
21,2,2273806215,4039315215,6,0.029306578,0.6096718,0.6063152,Failed
22,3,2273806215,4041289185,3,0.025262075,0.6096718,0.6063152,Failed
23,5,2018212020,3035673615,10,-0.00916598,0.6096718,0.6063152,Failed
24,1,2018212020,2273806215,8,-0.020908846,0.6096718,0.6063152,Failed
25,4,2018212020,3027809415,6,-0.12098363,0.6096718,0.6063152,Failed
