,Index,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,17,3537035730,3538955760,22,0.46097866,0.4404285,0.44339222,Failed
1,0,3537035730,3538955760,22,0.46097866,0.4404285,0.44339222,0
2,0,2777130375,3027809415,2,0.44309274,0.4404285,0.44339222,0
3,2,264499440,4042272240,20,0.29122183,0.4404285,0.44339222,0
4,11,3537028050,4031508660,24,0.19059716,0.4404285,0.44339222,Failed
5,12,3537028050,4039315215,6,0.17371012,0.4404285,0.44339222,Failed
6,10,3537028050,3785744805,4,0.14190054,0.4404285,0.44339222,Failed
7,0,264499440,4039315215,6,0.13431574,0.4404285,0.44339222,0
8,0,3035673780,3538955760,22,0.13247792,0.4404285,0.44339222,Failed
9,3,3035673780,4039315215,6,0.114597864,0.4404285,0.44339222,Failed
10,5,3035673780,4042272240,26,0.113678776,0.4404285,0.44339222,Failed
11,9,3537028050,3538955760,22,0.10589722,0.4404285,0.44339222,Failed
12,3,2777130375,3537028050,8,0.08697056,0.4404285,0.44339222,0
13,5,2777130375,3537972705,2,0.07753222,0.4404285,0.44339222,0
14,2,2777130375,3035673780,9,0.05384588,0.4404285,0.44339222,0
15,2,2777130375,3035673780,9,0.05384588,0.4404285,0.44339222,0
16,6,3035673780,517136850,19,0.0510675,0.4404285,0.44339222,Failed
17,6,2777130375,3538955760,9,0.049319655,0.4404285,0.44339222,0
18,13,3537028050,4041289185,4,0.047320545,0.4404285,0.44339222,Failed
19,4,3035673780,4041289185,4,0.045775656,0.4404285,0.44339222,Failed
20,1,264499440,4041289185,3,0.044879194,0.4404285,0.44339222,0
21,1,2777130375,3035673615,3,0.040809274,0.4404285,0.44339222,0
22,0,2777130375,3027809415,2,0.040809274,0.4404285,0.44339222,0
23,1,2777130375,3035673615,3,0.040809274,0.4404285,0.44339222,0
24,7,3537028050,3537035730,23,0.036413044,0.4404285,0.44339222,Failed
25,18,3537035730,3785744805,4,0.03321355,0.4404285,0.44339222,Failed
26,15,3537028050,517136850,19,0.028135123,0.4404285,0.44339222,Failed
27,1,3035673780,3785744805,4,0.026414802,0.4404285,0.44339222,Failed
28,2,3035673780,4031508660,24,0.02523389,0.4404285,0.44339222,Failed
29,14,3537028050,4042272240,26,0.02374573,0.4404285,0.44339222,Failed
30,4,2777130375,3537035730,9,0.017344633,0.4404285,0.44339222,0
31,8,3537028050,3537972705,6,0.010641789,0.4404285,0.44339222,Failed
32,16,3537035730,3537972705,4,-0.04979847,0.4404285,0.44339222,Failed
