,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,2273806215,4027576560,15,0.12050987,0.6096718,0.6063152,Failed
1,2273806215,4031508660,15,0.2547935,0.6096718,0.6063152,Failed
2,2273806215,4039315215,6,0.029306578,0.6096718,0.6063152,Failed
3,2273806215,4041289185,3,0.025262075,0.6096718,0.6063152,Failed
4,2273806215,4042272240,14,0.16183868,0.6096718,0.6063152,Failed
5,2273806215,517136850,13,0.20251518,0.6096718,0.6063152,Failed
6,2777130375,2783028705,3,0.032726504,0.6096718,0.6063152,Failed
7,2777130375,3027809415,2,0.15039851,0.6096718,0.6063152,Failed
8,2777130375,3035673615,3,0.15039851,0.6096718,0.6063152,Failed
9,2777130375,3035673780,9,0.1561524,0.6096718,0.6063152,Failed
