,Index,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,0,3537035730,4042272240,26,0.39825416,0.5140953,0.52036214,0
1,22,3537035730,4042272240,26,0.39825416,0.5140953,0.52036214,Failed
2,2,264499440,4042272240,15,0.27785346,0.5140953,0.52036214,Failed
3,14,3537028050,4042272240,26,0.26432022,0.5140953,0.52036214,Failed
4,5,3035673780,4042272240,24,0.2608035,0.5140953,0.52036214,Failed
5,11,3537028050,4031508660,24,0.23939,0.5140953,0.52036214,Failed
6,2,3035673780,4031508660,23,0.23137268,0.5140953,0.52036214,Failed
7,3,264499440,517136850,14,0.20701717,0.5140953,0.52036214,Failed
8,4,517136850,2018212080,19,0.19402392,0.5140953,0.52036214,Failed
9,17,3537035730,3538955760,22,0.18547086,0.5140953,0.52036214,Failed
10,9,3537028050,3538955760,22,0.17119512,0.5140953,0.52036214,Failed
11,12,3537028050,4039315215,6,0.16056952,0.5140953,0.52036214,Failed
12,3,3035673780,4039315215,6,0.15490875,0.5140953,0.52036214,Failed
13,20,3537035730,4039315215,6,0.14672601,0.5140953,0.52036214,Failed
14,8,3537028050,3537972705,6,0.13826849,0.5140953,0.52036214,Failed
15,6,3035673780,517136850,19,0.123140745,0.5140953,0.52036214,Failed
16,19,3537035730,4031508660,24,0.12162964,0.5140953,0.52036214,Failed
17,0,3035673780,3538955760,22,0.110599756,0.5140953,0.52036214,Failed
18,1,264499440,4041289185,3,0.08277355,0.5140953,0.52036214,Failed
19,5,517136850,2019194970,16,0.07901946,0.5140953,0.52036214,Failed
20,21,3537035730,4041289185,4,0.076510675,0.5140953,0.52036214,Failed
21,15,3537028050,517136850,19,0.05517112,0.5140953,0.52036214,Failed
22,23,3537035730,517136850,19,0.040360317,0.5140953,0.52036214,Failed
23,7,3537028050,3537035730,23,0.035433993,0.5140953,0.52036214,Failed
24,1,3035673780,3785744805,4,0.009975777,0.5140953,0.52036214,Failed
25,10,3537028050,3785744805,4,-0.003642946,0.5140953,0.52036214,Failed
26,18,3537035730,3785744805,4,-0.026954269,0.5140953,0.52036214,Failed
27,13,3537028050,4041289185,4,-0.037001476,0.5140953,0.52036214,Failed
28,6,517136850,2777130375,6,-0.078019746,0.5140953,0.52036214,Failed
29,0,264499440,4039315215,6,-0.09199375,0.5140953,0.52036214,Failed
30,16,3537035730,3537972705,6,-0.10596853,0.5140953,0.52036214,Failed
31,24,3537972705,3538955760,4,-0.14433527,0.5140953,0.52036214,Failed
32,4,3035673780,4041289185,3,-0.15586373,0.5140953,0.52036214,Failed
