,Index,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Heir Silhoutte,Kmeans Silhoutte,Birch Silhoutte
0,0,3537035730,3538955760,22,0.46097866,0.4404285,0.44339222,0
1,17,3537035730,3538955760,22,0.46097866,0.4404285,0.44339222,Failed
2,0,2777130375,3027809415,2,0.44309274,0.4404285,0.44339222,0
3,11,3537028050,4031508660,24,0.19059716,0.4404285,0.44339222,Failed
4,12,3537028050,4039315215,6,0.17371012,0.4404285,0.44339222,Failed
5,10,3537028050,3785744805,4,0.14190054,0.4404285,0.44339222,Failed
6,0,264499440,4039315215,6,0.13431574,0.4404285,0.44339222,0
7,0,3035673780,3538955760,22,0.13247792,0.4404285,0.44339222,Failed
8,3,3035673780,4039315215,6,0.114597864,0.4404285,0.44339222,Failed
9,5,3035673780,4042272240,26,0.113678776,0.4404285,0.44339222,Failed
10,9,3537028050,3538955760,22,0.10589722,0.4404285,0.44339222,Failed
11,2,2777130375,3035673780,9,0.05384588,0.4404285,0.44339222,0
12,6,3035673780,517136850,19,0.0510675,0.4404285,0.44339222,Failed
13,13,3537028050,4041289185,4,0.047320545,0.4404285,0.44339222,Failed
14,4,3035673780,4041289185,4,0.045775656,0.4404285,0.44339222,Failed
15,1,264499440,4041289185,3,0.044879194,0.4404285,0.44339222,0
16,0,2777130375,3027809415,2,0.040809274,0.4404285,0.44339222,0
17,1,2777130375,3035673615,3,0.040809274,0.4404285,0.44339222,0
18,1,2777130375,3035673615,3,0.040809274,0.4404285,0.44339222,0
19,7,3537028050,3537035730,23,0.036413044,0.4404285,0.44339222,Failed
20,18,3537035730,3785744805,4,0.03321355,0.4404285,0.44339222,Failed
21,15,3537028050,517136850,19,0.028135123,0.4404285,0.44339222,Failed
22,1,3035673780,3785744805,4,0.026414802,0.4404285,0.44339222,Failed
23,2,3035673780,4031508660,24,0.02523389,0.4404285,0.44339222,Failed
24,14,3537028050,4042272240,26,0.02374573,0.4404285,0.44339222,Failed
25,8,3537028050,3537972705,6,0.010641789,0.4404285,0.44339222,Failed
26,16,3537035730,3537972705,4,-0.04979847,0.4404285,0.44339222,Failed
