,Unnamed: 0,Rule 1,Rule 2,Initial clusters,CA Silhoutte,Kmeans Silhoutte,New Clusters,New CA Silhoutte,New Kmeans Silhoutte
301,301,3035673615,1259293560,3,0.673608603185367,0.5206351999771719,2,0.7469933482378144,0.7663611080988648
107,107,2783028705,4027544304,16,-0.1601791453519868,0.4094296920565976,2,0.7099697453825351,0.7663611080988648
104,104,2783028705,3785744805,11,-0.3896420368085163,0.4855423541121131,2,0.70877096795752,0.7663611080988648
20,20,1263225675,3530698098,27,0.1368089201904683,0.1740859268765793,2,0.6055541581205918,0.7663611080988648
113,113,2018212020,2273806215,25,0.0332483816314177,0.212747251558989,2,0.6054289306558713,0.7663611080988648
361,361,3063191190,3724750095,3,0.5455113913060171,0.5206351999771719,2,0.5940545297599455,0.7663611080988648
114,114,252645135,3537972705,3,0.2200678661597629,0.5206351999771719,2,0.5833362600397742,0.7663611080988648
42,42,517136850,4034007024,27,0.1054559669065122,0.1740859268765793,2,0.5706192217104564,0.7663611080988648
10,10,255594255,255652080,26,0.0971227829709226,0.2038472555369759,2,0.5706192217104564,0.7663611080988648
16,16,517136850,2463552210,27,0.1139962709842791,0.1740859268765793,2,0.5706192217104564,0.7663611080988648
229,229,3031741620,265482450,26,0.067116851583238,0.2038472555369759,2,0.5538026134981482,0.7663611080988648
20,20,757935405,695036265,6,-0.4912985715277483,0.6356237424292691,2,0.5537757277678584,0.7663611080988648
11,11,757935405,265482450,26,0.0609364606751736,0.2038472555369759,2,0.538973477073352,0.7663611080988648
50,50,260509455,260960271,4,-0.5216914317290872,0.6624775722716753,2,0.5289814742921124,0.7663611080988648
279,279,3035673615,263458575,15,-0.3285496008971448,0.4537382684768693,2,0.5289742496406009,0.7663611080988648
143,143,2783028705,1263225615,12,-0.2209672845052404,0.4598324187630279,2,0.5144946515135556,0.7663611080988648
316,316,3035673780,4027518936,3,0.4163373184791328,0.5206351999771719,2,0.5051667005153492,0.7663611080988648
24,24,755961615,3027809415,5,-0.5084235156250083,0.6348250348539115,2,0.5048098115772108,0.7663611080988648
71,71,260509455,570174960,11,-0.3822154655640253,0.4855423541121131,2,0.4920680763624884,0.7663611080988648
386,386,3063191190,267448560,22,-0.0309873790869228,0.2774971189263951,2,0.4882439009839996,0.7663611080988648
63,63,755961615,521018910,19,-0.1639856453263516,0.3282630066445901,2,0.4693000943635155,0.7663611080988648
153,153,3027809415,3538955760,17,-0.2185379391781286,0.3510247523758785,2,0.463299156173887,0.7663611080988648
6,6,1016918172,4034007024,25,0.014699046173715,0.212747251558989,2,0.4608005850856077,0.7663611080988648
431,431,3530698098,265482450,26,0.0761611770963304,0.2038472555369759,2,0.4452839868746541,0.7663611080988648
108,108,260509455,2018211960,24,0.0031763983959079,0.2223335505234243,2,0.4386631656220408,0.7663611080988648
201,201,252656880,1267157880,5,-0.4505492206663775,0.6348250348539115,2,0.4313849259894949,0.7663611080988648
474,474,3537028050,4041289185,6,-0.3879280350112451,0.6356237424292691,2,0.4303913178734415,0.7663611080988648
25,25,517136850,3530698098,27,0.1212748619459474,0.1740859268765793,2,0.4210118913568593,0.7663611080988648
324,324,3035673780,4038389940,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
322,322,3035673780,4034007024,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
323,323,3035673780,4035440880,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
342,342,3035673780,755969295,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
345,345,3035673780,757935405,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
351,351,3035673780,1259293455,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
336,336,3035673780,267448560,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
335,335,3035673780,267448335,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
331,331,3035673780,264441615,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
329,329,3035673780,4042272240,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
328,328,3035673780,4042264560,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
321,321,3035673780,4031508660,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
326,326,3035673780,4040348370,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
306,306,3035673780,3537028050,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
305,305,3035673780,3530698098,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
317,317,3035673780,4027544304,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
318,318,3035673780,4027576335,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
319,319,3035673780,4027576560,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
307,307,3035673780,3537035730,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
309,309,3035673780,3538955760,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
310,310,3035673780,3539005680,28,0.15625,0.15625,2,0.4184849077122016,0.7663611080988648
124,124,2783028705,267416079,11,-0.1755791978355698,0.4855423541121131,2,0.410799714572977,0.7663611080988648
138,138,2783028705,921712188,14,-0.1975244639093143,0.4595098788709187,2,0.409627547746389,0.7663611080988648
83,83,252645135,2019194970,22,-0.0586092731470934,0.2774971189263951,2,0.4086167459423058,0.7663611080988648
174,174,3027809415,263458575,8,-0.3310089347297086,0.5402522282032921,2,0.405501982985556,0.7663611080988648
299,299,3035673615,1511938590,14,-0.3669038710088229,0.4595098788709187,2,0.4037911734671434,0.7663611080988648
5,5,755961615,2076199695,6,-0.2802007557901927,0.6356237424292691,2,0.4019103315907259,0.7663611080988648
46,46,252656655,1267157880,3,-0.3311703114763887,0.5206351999771719,2,0.4009788519036149,0.7663611080988648
299,299,252691215,255652080,26,0.0967214857427034,0.2038472555369759,2,0.3989853190077628,0.7663611080988648
24,24,757935405,757935405,27,0.0950491249642285,0.1740859268765793,2,0.3963720698507154,0.7663611080988648
185,185,252656880,764269197,6,-0.3707077865723269,0.6356237424292691,2,0.3944367174626569,0.7663611080988648
205,205,252656880,1799965515,3,0.239520326871545,0.5206351999771719,2,0.3939733020869457,0.7663611080988648
45,45,252645135,695036265,6,0.0887485813448612,0.6356237424292691,2,0.3853316712580615,0.7663611080988648
147,147,252645135,695036265,6,0.0887485813448612,0.6356237424292691,2,0.3853316712580615,0.7663611080988648
32,32,755961615,3537972705,4,-0.5482491205033198,0.6624775722716753,2,0.3783471664307232,0.7663611080988648
115,115,252656655,267448335,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
111,111,252656655,264441615,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
125,125,252656655,757935405,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
2,2,252656655,267390735,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
122,122,252656655,755969295,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
131,131,252656655,1259293455,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
4,4,252656655,267390960,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
7,7,252656655,267448335,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
101,101,252656655,4031508660,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
109,109,252656655,4042272240,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
10,10,252656655,505290270,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
67,67,252656655,2222699700,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
98,98,252656655,4027576335,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
102,102,252656655,4034007024,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
90,90,252656655,3539005680,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
89,89,252656655,3538955760,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
87,87,252656655,3537035730,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
86,86,252656655,3537028050,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
85,85,252656655,3530698098,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
83,83,252656655,3035673780,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
81,81,252656655,3031741620,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
74,74,252656655,252648975,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
103,103,252656655,4035440880,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
69,69,252656655,2273806215,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
68,68,252656655,2222699760,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
66,66,252656655,2218767600,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
14,14,252656655,517140690,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
65,65,252656655,2218767540,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
104,104,252656655,4038389940,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
58,58,252656655,2021161080,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
106,106,252656655,4040348370,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
108,108,252656655,4042264560,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
49,49,252656655,1768515945,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
44,44,252656655,1263225675,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
39,39,252656655,1259293455,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
34,34,252656655,1010580540,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
27,27,252656655,757935405,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
99,99,252656655,4027576560,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
21,21,252656655,755969295,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
20,20,252656655,755961615,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
77,77,252656655,2526451350,28,0.15625,0.15625,2,0.3777322886355335,0.7663611080988648
171,171,252656880,568251090,22,-0.2304512028803722,0.2774971189263951,2,0.3770081447461966,0.7663611080988648
78,78,260509455,756994590,3,-0.3686918008954204,0.5206351999771719,2,0.3769314793787082,0.7663611080988648
32,32,1263225675,4027544304,26,0.0993321711956139,0.2038472555369759,2,0.3768579428720516,0.7663611080988648
117,117,2783028705,4041289185,4,-0.5210855291990623,0.6624775722716753,2,0.3741109462827965,0.7663611080988648
