,0
0,0b11100101000110010000100101000100000110011111101110000000110000
1,-0b111110010010010000011011010101011001111010011110110011010110101
2,0b1110011011111100100001100001011110110000001101101000011111011
3,-0b110111111010001100011001100111011101100000001100010000110110011
4,0b101100001111100100011010110100110011011011000101010001101001101
5,-0b1010101011111011000100100010110100011100010110111110110000101
6,-0b10011000110010110100000010011100100000110011110011001111011111
7,0b111100000011111011001110101010000111100101110001011111000101000
8,0b1010000011101101000101111011010001001101100000110000000011011
9,0b111110101110011111100000100100011000011001000101110001001111010
10,0b1011101010011111101001001000000010010011000101010001111101011
11,-0b110011001000000000110111111001100000100000000010011010111010001
12,0b10011000001011011111101000101011001110010001000100111011001
13,-0b100010100000111111111100000100111000011111011100000010110111011
14,-0b100011101101010111011100001000001100000111000100110001111110101
15,-0b101010111011000011101101101010111110111110000110000010010111100
16,-0b11010010110000011010110010100000010000000010110110100000100010
17,-0b110011101011011011010010000000010101001110011110011001101000001
18,0b111100010000111110001100010001110111011111010111001101000011001
19,-0b111011010010011001100111101100101001101000101000111001110110011
20,0b111001100101111100100010010111010110100100000101101010100011001
21,0b101110001100100101111100101010111100010100101010110110001101010
22,0b101011011100100100101100110000101000010011000101100111000010011
23,-0b1101010110111100101110011101010101010111101000100001010000101
24,0b101001111011110100010000100110001001000000000101110101001111100
25,0b101001100111111000101100011111001101011100101100000010111001101
26,-0b11001110000000110100101110111100110110001111100110111011011001
27,-0b111110111001000010000100100011101000010010110010100011110101
28,0b110111000010100000111011010000101010010111011011100000001001
29,0b100001000101010100110111011000111010000000101000111001001101001
30,0b11111010011010110010110100010110001100111010010000010010000010
31,-0b100100000001010011000000001111000111101010011110100100010100100
32,-0b11101101111101101111011100011001100010110010111101000110100000
33,0b11000100110101101101101011010000100000110111000100001010110110
34,0b111110101110011111100000100100011000011001000101110001001111010
35,-0b111101011010000000110111100000010101110101011110011101101000011
36,-0b111101000010101111010111110100011111010101001100010111100010100
37,0b111110101110011111100000100100011000011001000101110001001111010
38,0b1000101111111000101011010000001010111110010000000011100100001
39,0b110111000010100000111011010000101010010111011011100000001001
40,-0b11110100100110100011101111011001010010010000100101011010010100
41,0b10000010000101110001011100111111111110111111011100111000001011
42,-0b10111111000100010000010000001100001000110101000001111111000001
43,-0b111011010010011001100111101100101001101000101000111001110110011
44,-0b100011101101010111011100001000001100000111000100110001111110101
45,0b10001000001100111110101001111001001011000110001011110111
46,0b100101101101100000100000111111010000110110010101001110010111000
47,0b1110011011111100100001100001011110110000001101101000011111011
48,-0b111111001001111001001111100111111011011010000100101010111110110
49,-0b1010101000100010110101110111010011101100110010001001100000
50,-0b110001010011001101010100110110011111101110111101000100011110000
51,0b101000010100111110001100000001100101011101010100101111011010100
52,0b11001100001001011100011111001011101111110001100111000011110001
53,0b111011110000110001111011110100100100110111111011110001101111010
54,0b100110100100101000011011111001101111110000110001010001101110011
55,0b101111100100101011000010000010000011010111001101001001100010111
56,-0b1110111101110010110011000001111000111010011001100111000101101
57,-0b101001011001100011000100010100111000101110111010000111001111110
58,-0b111110010010110001010100101101011100011111101000100111100111011
59,0b110011001100100101010101111111111110101111000101001110110010000
60,-0b1011000100111000100001010001110111000101000001010000001101101
61,-0b1010000000011011010011101010100100100110011101011100000110100
62,-0b11111101011000101010000110000010000111101110001110011100101011
63,-0b110000101000111010010100010000011111010110101101000001011000010
64,-0b110011110001111110010010011010101001100110001100111110000000000
65,-0b100111100011101010010011110001001110011010110111000011100010101
66,-0b1101000110001110001111001011110011001111000100111111100010101
67,0b101101000001101100011001111100011111001100111101100101000110110
68,-0b101110110101101100000000100011111110110101001110100000010001111
69,0b111011110000110001111011110100100100110111111011110001101111010
70,-0b101100110011110101101001101101110110011101011101001001011010
71,-0b11011001111101101110110101101111010010101111100110011011001010
72,0b110001011100100101001011111101000000010100100111010001000101110
73,0b100001110010011100111010001011110010110000100111011011110010001
74,0b1110111111100110010000010101010010001111001101001001110110101
75,0b110011001100111010111100000100110110000001001010101110110001111
76,0b110100011000110101100110001000011010010101001100100111000000100
77,-0b1100111011010101011011111010101110001011001001110001100001
78,-0b100111010001100110001110011100010101001111111111000011011101111
79,-0b111111110100010100000010001001010100101000001100011110011010011
80,0b10101010010101010001000100010101110110110001101001110011000
81,-0b111101101101001010001010010101111000100011010100001010111110001
