,Avg_len_binary,Avg_wid_binary
0,0b11010011101100011110010111011110111000110000100011100010100,0b101010000100100101000010011101000101001010000001100011100011011
1,-0b10010001101111001000100001110111011011101111100001111111010111,-0b101010011101011011100101010111111101010010110110010011010001100
2,-0b11110101111100101100011100000100100011100101101011111111110011,-0b10100110111101101010011100100001101000011100001101101011010001
3,0b110000001110001010110100111001101100111000011111110001110001111,-0b110111001100111110101100111110011111001100010101011001011000100
4,-0b111110001111100111000001100000011010100011110010011010100100110,0b1000000111001001111000000010011011110111110110000010011011100
5,0b110111110101110100111000111000101011110111001110111101011000001,-0b111100001110101111110110110011110111110101001100100101000111010
6,-0b11110101111100101100011100000100100011100101101011111111110011,0b101010000100100101000010011101000101001010000001100011100011011
7,0b11010011101100011110010111011110111000110000100011100010100,-0b111111011101110010101000101100100111001000011100011011011000101
8,0b1111101110100110110101110000111110110110001111010111110100111,-0b1010011000000010100001111011111110111001011101000010101000010
9,-0b111110001111100111000001100000011010100011110010011010100100110,-0b101010011101011011100101010111111101010010110110010011010001100
10,-0b101100000000000010010111100111000100001111101010000101000000001,0b11000000010010011101010100001000000110101111100010001010000101
11,-0b111110001111100111000001100000011010100011110010011010100100110,-0b111111011101110010101000101100100111001000011100011011011000101
12,-0b101010011000010111011110011001101011011011110000010011001000100,-0b1010011000000010100001111011111110111001011101000010101000010
13,0b11010000010111000001001010010010010110000011010100111100110110,-0b1010011000000010100001111011111110111001011101000010101000010
14,0b110101101100000100010100110110111010110001001111001111010010011,-0b100011101101001101111001111000011110101011110010000101110001001
15,-0b111011010010000000100010101011000010110001010000000110000000001,0b10001100111000101011000001001001100110001001110001001111000000
16,0b111010111111001100010011010000001100110101011000100001110001010,-0b111100001110101111110110110011110111110101001100100101000111010
17,0b11010011101100011110010111011110111000110000100011100010100,0b1000000111001001111000000010011011110111110110000010011011100
18,0b11110111010111010101011111111011010110001101110001100101001100,0b100110110000010010111001101100011011011000010001001111000100100
19,-0b110010101101000100000011100101010011001010111010011010001010111,0b100110110000010010111001101100011011011000010001001111000100100
20,0b110111110101110100111000111000101011110111001110111101011000001,-0b111111011101110010101000101100100111001000011100011011011000101
21,-0b110010101101000100000011100101010011001010111010011010001010111,0b101010101011000001011100010011001001001000010010111111001111011
22,0b111101001100001000111101010111111101111010010111001001110100000,0b1000000111001001111000000010011011110111110110000010011011100
23,0b10111111010100110111110000100111010010101111110111010001101101,0b1000000111001001111000000010011011110111110110000010011011100
24,0b111010111111001100010011010000001100110101011000100001110001010,-0b111111011101110010101000101100100111001000011100011011011000101
25,-0b110010101101000100000011100101010011001010111010011010001010111,-0b101010011101011011100101010111111101010010110110010011010001100
26,-0b110010101101000100000011100101010011001010111010011010001010111,0b1000000111001001111000000010011011110111110110000010011011100
27,0b111010111111001100010011010000001100110101011000100001110001010,0b101010000100100101000010011101000101001010000001100011100011011
28,-0b110010101101000100000011100101010011001010111010011010001010111,-0b111111011101110010101000101100100111001000011100011011011000101
29,-0b10010001101111001000100001110111011011101111100001111111010111,-0b10100110111101101010011100100001101000011100001101101011010001
30,-0b111110001111100111000001100000011010100011110010011010100100110,-0b110111001100111110101100111110011111001100010101011001011000100
31,-0b101100000000000010010111100111000100001111101010000101000000001,0b1000000111001001111000000010011011110111110110000010011011100
32,0b111010111111001100010011010000001100110101011000100001110001010,-0b111011110111111100011000001011110010100111100101001111000000100
33,-0b101100000000000010010111100111000100001111101010000101000000001,-0b1111011010001111111111111000010110010011111000001100011100100
34,-0b111110001111100111000001100000011010100011110010011010100100110,-0b101010011101011011100101010111111101010010110110010011010001100
35,-0b100010100101110101000000001111010010100011110101010110010111110,-0b10100110111101101010011100100001101000011100001101101011010001
36,0b10111111010100110111110000100111010010101111110111010001101101,0b101010000100100101000010011101000101001010000001100011100011011
37,-0b111110001111100111000001100000011010100011110010011010100100110,-0b101010011101011011100101010111111101010010110110010011010001100
38,0b11100101011001101000110011011010010011111001101000110111001101,-0b101010011101011011100101010111111101010010110110010011010001100
39,-0b110010101101000100000011100101010011001010111010011010001010111,-0b111111011101110010101000101100100111001000011100011011011000101
40,-0b111011100011001010110101111001100010101000011000100011000000011,0b1000000111001001111000000010011011110111110110000010011011100
41,-0b1101011011110100000111011110010101001001010000000001100100111,0b11100101101101001100110111010110111100100110001100110001000
42,0b11100101011001101000110011011010010011111001101000110111001101,-0b10100110111101101010011100100001101000011100001101101011010001
43,-0b110010101101000100000011100101010011001010111010011010001010111,0b100110110000010010111001101100011011011000010001001111000100100
44,0b110101101100000100010100110110111010110001001111001111010010011,-0b100011101101001101111001111000011110101011110010000101110001001
45,-0b101010011000010111011110011001101011011011110000010011001000100,-0b110111001100111110101100111110011111001100010101011001011000100
46,0b111010111111001100010011010000001100110101011000100001110001010,-0b1000001110111010111101001110011100101011001010110001010011100
47,-0b11110101111100101100011100000100100011100101101011111111110011,-0b10100110111101101010011100100001101000011100001101101011010001
48,0b10111111010100110111110000100111010010101111110111010001101101,0b11000000010010011101010100001000000110101111100010001010000101
49,-0b111110001111100111000001100000011010100011110010011010100100110,0b110111111000011010111100100101001010000011010001001000010100000
50,-0b10101001111100000011110100110001001001001101001111011100110000,-0b101100001010101011000100001010000101111111101100100011011111
51,0b110101111011111001101000111101001101010100010011111000000001010,-0b100101011101111001101000010011010110100111001001010010111011
52,-0b1101101000010110001111010000010010000110010110000000110101010,-0b101100001010101011000100001010000101111111101100100011011111
53,0b10100011100110111000010100111010010000111010111001100110101111,-0b111111011101110010101000101100100111001000011100011011011000101
54,0b110010101000001100101101001011111101000001111011010101101100000,-0b111100001110101111110110110011110111110101001100100101000111010
55,0b1101110010001010111101111000010110001100100111011011000000,0b100110110000010010111001101100011011011000010001001111000100100
56,-0b10100110001011011111001010111111010100001111100001010111001110,0b111101001000110100011110001000111100110010010110011110111010100
57,0b1010111011100111100010110011001010000010001110000101001110111,-0b10100110111101101010011100100001101000011100001101101011010001
58,0b110111101001110001010010000010011011010001000101000010100110111,-0b100011101101001101111001111000011110101011110010000101110001001
59,0b100110110111101101010100100111100110011111111101100001011100,0b100110110000010010111001101100011011011000010001001111000100100
60,0b1000011010110000111110100100010100001000100111010000011110100,-0b101000111111101011010000000011000101011001111111100011100001001
61,0b1110000110001100101101101100000011101101000110000000001010011,-0b101101011101100100001110011000010111101010101100010000010111111
62,0b110111100011001001101010001010010001111000110011000110110110111,-0b101010011101011011100101010111111101010010110110010011010001100
63,0b1001011001011110100101111101110110101101111000111100110100110,-0b111100001110101111110110110011110111110101001100100101000111010
64,0b11000010000111011000100001111100001011001111001011001100101010,-0b100011101101001101111001111000011110101011110010000101110001001
65,-0b11000001111010001100111111110011000100000001101011011111101010,-0b101101011101100100001110011000010111101010101100010000010111111
66,0b100011111100011010000101101011110101110101100100101000101,-0b101101011101100100001110011000010111101010101100010000010111111
67,0b10110100011110000110011010001000011100101010101000000101111011,0b101010000100100101000010011101000101001010000001100011100011011
68,-0b1111011100111110001011010001010011011011111000100111001110010,0b101010000100100101000010011101000101001010000001100011100011011
69,0b10100011100110111000010100111010010000111010111001100110101111,-0b111111011101110010101000101100100111001000011100011011011000101
70,-0b1111011100111110001011010001010011011011111000100111001110010,-0b1111000010000000011010011000110101111111011000011001110
71,0b100011111100011010000101101011110101110101100100101000101,0b100110110000010010111001101100011011011000010001001111000100100
72,0b110111101001110001010010000010011011010001000101000010100110111,-0b1000001110111010111101001110011100101011001010110001010011100
73,0b1001011001011110100101111101110110101101111000111100110100110,-0b1000001110111010111101001110011100101011001010110001010011100
74,-0b1111011100111110001011010001010011011011111000100111001110010,-0b100011101101001101111001111000011110101011110010000101110001001
75,-0b10100110001011011111001010111111010100001111100001010111001110,-0b1111011010001111111111111000010110010011111000001100011100100
76,-0b10110011111001110101010111000100110110111000101010101000100000,-0b111011110111111100011000001011110010100111100101001111000000100
77,-0b10101001111100000011110100110001001001001101001111011100110000,-0b100101011101111001101000010011010110100111001001010010111011
78,0b110001100000011100100010101101000111110101100111101110110011001,-0b1111011010001111111111111000010110010011111000001100011100100
79,0b11000010000111011000100001111100001011001111001011001100101010,-0b111111011101110010101000101100100111001000011100011011011000101
80,0b10101011100101000101001010110100010101101110101110001111110010,0b110111111000011010111100100101001010000011010001001000010100000
81,0b11000010000111011000100001111100001011001111001011001100101010,-0b10100110111101101010011100100001101000011100001101101011010001
82,0b101011000100110100010010010001011100111000011110111100001001110,0b11000000010010011101010100001000000110101111100010001010000101
83,0b110010101000001100101101001011111101000001111011010101101100000,-0b111100101101000101100001110000010011100001100001101010101110000
84,0b100011001010100111100110011100110011110001010000100111001011,-0b101101011101100100001110011000010111101010101100010000010111111
85,0b110001100000011100100010101101000111110101100111101110110011001,-0b1111000010000000011010011000110101111111011000011001110
86,-0b101001010011110110001010010101001010111111001011001100001110100,-0b101100001010101011000100001010000101111111101100100011011111
87,-0b1111011100111110001011010001010011011011111000100111001110010,-0b111111011101110010101000101100100111001000011100011011011000101
88,0b101011000100110100010010010001011100111000011110111100001001110,-0b111100001110101111110110110011110111110101001100100101000111010
89,0b10100011100110111000010100111010010000111010111001100110101111,0b1000000111001001111000000010011011110111110110000010011011100
90,0b100011001010100111100110011100110011110001010000100111001011,0b1000000111001001111000000010011011110111110110000010011011100
91,-0b1111011100111110001011010001010011011011111000100111001110010,-0b1111011010001111111111111000010110010011111000001100011100100
92,-0b111101101110010001011110101110101101011100001001000110110110110,0b1000000111001001111000000010011011110111110110000010011011100
93,-0b110010010111010101011001011011111101110000101110001011100011111,-0b110111001100111110101100111110011111001100010101011001011000100
94,-0b111101101110010001011110101110101101011100001001000110110110110,-0b1000001110111010111101001110011100101011001010110001010011100
95,0b100011001010100111100110011100110011110001010000100111001011,-0b100011101101001101111001111000011110101011110010000101110001001
96,0b100011001010100111100110011100110011110001010000100111001011,-0b100011101101001101111001111000011110101011110010000101110001001
97,0b110001100000011100100010101101000111110101100111101110110011001,-0b100011101101001101111001111000011110101011110010000101110001001
98,-0b1011111100111101000011100100001010010101010001110011100111011,-0b111111011101110010101000101100100111001000011100011011011000101
99,-0b111101101110010001011110101110101101011100001001000110110110110,0b100110110000010010111001101100011011011000010001001111000100100
100,0b110100110111001111010101111101101110101111011110010011010000010,-0b1101011011110100000111011110010101001001010000000001100100111
101,0b10011000010101101101010011100001011011111011110000001110001000,-0b101100001010101011000100001010000101111111101100100011011111
102,-0b110011011010111001010110100100111111100100110100000000101100010,0b111110011100000001110000000010011000110001111011111000001100001
103,0b1001100110000000101000011000101001100110100011101010101011010,-0b100101011101111001101000010011010110100111001001010010111011
104,0b110100110111001111010101111101101110101111011110010011010000010,0b1101010010000011001110001001100010001010111010001001100100101
105,0b100000111101110110000010100111010101101100110001001111110110110,0b111110011100000001110000000010011000110001111011111000001100001
106,-0b110111100010001110011100111110111111110000111011101111010110101,-0b100011101101001101111001111000011110101011110010000101110001001
107,-0b110000010101110010111111010010111000101110101011001110110011000,-0b100101011101111001101000010011010110100111001001010010111011
