,0
0,4127059024300400688
1,-8976252034576508597
2,2080540719894155515
3,-8057376028693504435
4,6376126657167795021
5,-1540057648820092293
6,-2752491188749546463
7,8655750620323036712
8,1449493834838859803
9,9039833072364872314
10,1680955985560249323
11,-7367919720936322513
12,342677991602031065
13,-4974223631349319099
14,-5146187278336549877
15,-6185824749550240956
16,-3796652305685375010
17,-7447661860357092161
18,8685128263186225689
19,-8544229926446068659
20,8300012268050109721
21,6657655425243376746
22,6261294726421597715
23,-1925173643956208261
24,6043417611184827004
25,5998537686029567437
26,-3711198017802366681
27,-1132945890488297717
28,991499677803067401
29,4767794343527608937
30,4511141476342236290
31,-5191067203491809444
32,-4286791080085279136
33,3545941166385808054
34,9039833072364872314
35,-8849603782161414979
36,-8797196833008267028
37,9039833072364872314
38,1260750199098705697
39,991499677803067401
40,-4406366474021787284
41,2343496678243159563
42,-3441947496506728385
43,-8544229926446068659
44,-5146187278336549877
45,38337678980965111
46,5434736985942695096
47,2080540719894155515
48,-9101537145629332982
49,-191556219263197792
50,-7104897272246077680
51,5811831561064701652
52,3677595858943504625
53,8612639408983499642
54,5558864654502503283
55,6855992678000530199
56,-2156759694076333613
57,-5966251537911844478
58,-8977409477069524795
59,7378210105858366864
60,-1596262888289378413
61,-1442112669855168564
62,-4564583354887366443
63,-7009652850533237442
64,-7462404338334727168
65,-5700793940267730709
66,-1887509172780695317
67,6488997639078464054
68,-6750192463067431055
69,8612639408983499642
70,-807224721425158746
71,-3926500453189052106
72,7126003003610604078
73,4869408346745321361
74,2160822006392984501
75,7378969910172802447
76,7549918710168178180
77,-232874083194018913
78,-5660117877882062575
79,-9197055306122018003
80,383554223282377624
81,-8892714993500952049
82,-1480397414448900741
83,2314005932482397072
84,-3673533546626853737
85,-8323824293079139868
86,-5625028086556634917
87,426171038605693666
88,-6487435422675400777
89,3909941713378065560
90,6166536370243348277
91,-2541875689212449581
92,2430072527688622797
93,-2055781595774320940
94,-2272625167916811285
95,8205527650651705066
96,8205527650651705066
97,-5355777565260996621
98,-8674837878264181338
99,4599398021135247482
100,363351807495414965
101,3486620924249328732
102,-3976105145432197194
103,6099962842888825354
104,5674730128342980955
105,-7764216132825635042
106,-4833560137403159956
107,-6799797155310576143
108,-8316571007861096267
109,-2154966346667617664
110,-9150382033558042487
111,-7104897272246077680
112,-1197293060709077812
113,8728504882823977314
114,7204798923704406080
115,-3200920811012162160
116,-1886749368466259734
117,4499179727147670392
118,2685567952380979246
119,5818325041968309670
120,6809582939025689630
121,-3621126597473705786
122,-5972479610517237941
123,-2409726600638531982
124,5594987988922211307
125,8069186022244419952
126,2676272214567368365
127,-9028782883128392380
128,4985273820585799033
129,5559624458816938866
130,-4154376583213146982
131,-1580615708436477831
132,-6589447064071693816
133,-599869122116085058
134,-8839548240033368515
135,8121592971397567903
136,-8747145082207876696
137,-5797219310603783272
138,1901361618927178114
139,5674730128342980955
140,-6204331068935577848
141,-4550455783663337027
142,3486620924249328732
143,3941112703649970486
144,4986307363680079399
145,-3758228030195426483
146,1500743341498991556
147,6334808793236973900
148,5745093526394645671
149,-9028782883128392380
