,Avg_len_binary,Avg_wid_binary
0,32500.0,18500.0
1,31500.000000000004,16000.0
2,30000.0,17000.0
3,30500.0,16500.0
4,32000.0,19000.0
5,35500.0,21500.0
6,30000.0,18500.0
7,32500.0,18000.0
8,29000.000000000004,15500.0
9,32000.0,16000.0
10,34500.0,19500.0
11,32000.0,18000.0
12,30999.999999999996,15500.0
13,27000.0,15500.0
14,35000.0,21000.0
15,36000.0,24000.000000000004
16,33500.0,21500.0
17,32500.0,19000.0
18,37000.0,20500.0
19,33000.0,20500.0
20,35500.0,18000.0
21,33000.0,20500.000000000004
22,28000.0,19000.0
23,34000.0,19000.0
24,33500.0,18000.0
25,33000.0,16000.0
26,33000.0,19000.0
27,33500.0,18500.0
28,33000.0,18000.0
29,31500.000000000004,17000.0
30,32000.0,16500.0
31,34500.0,19000.0
32,33500.0,20999.999999999996
33,34500.0,22000.0
34,32000.0,16000.0
35,31000.0,17000.0
36,34000.0,18500.0
37,32000.0,16000.0
38,28500.0,16000.0
39,33000.0,18000.0
40,31500.0,19000.0
41,29000.0,12999.999999999998
42,28500.0,17000.0
43,33000.0,20500.0
44,35000.0,21000.0
45,30999.999999999996,16500.0
46,33500.0,20000.0
47,30000.0,17000.0
48,34000.0,19500.0
49,32000.0,17500.0
50,58500.0,23000.0
51,54500.0,23500.0
52,59000.0,23000.0
53,47500.0,18000.0
54,55500.0,21500.0
55,51000.0,20500.0
56,55000.0,24500.0
57,41000.0,17000.0
58,56000.0,21000.0
59,45500.0,20500.0
60,42500.0,15000.0
61,50500.00000000001,22500.0
62,50000.0,16000.0
63,54000.0,21500.0
64,46000.0,21000.0
65,55500.00000000001,22500.0
66,50500.0,22500.0
67,49499.99999999999,18500.0
68,53500.0,18500.0
69,47500.0,18000.0
70,53500.0,25000.0
71,50500.0,20500.0
72,56000.0,20000.0
73,54000.0,20000.0
74,53500.0,21000.0
75,55000.0,22000.0
76,58000.0,20999.999999999996
77,58500.0,23500.0
78,52500.0,22000.0
79,46000.0,18000.0
80,46500.0,17500.0
81,46000.0,17000.0
82,48500.0,19500.0
83,55500.0,21500.000000000004
84,49500.0,22500.0
85,52500.0,25000.0
86,57000.0,23000.0
87,53500.0,18000.0
88,48500.0,21500.0
89,47500.0,19000.0
90,49500.0,19000.0
91,53500.0,22000.0
92,49000.0,19000.0
93,41500.0,16500.0
94,49000.0,20000.0
95,49500.0,21000.0
96,49500.0,21000.0
97,52500.0,21000.0
98,40500.0,18000.0
99,49000.0,20500.0
100,61500.0,29000.0
101,54499.99999999999,23000.0
102,65000.0,25500.0
103,59499.99999999999,23500.0
104,61500.0,26000.0
105,71000.0,25500.0
106,47000.0,21000.0
107,68000.0,23500.0
108,62500.0,21500.0
109,66500.0,30500.0
110,58000.0,26000.0
111,58500.0,23000.0
112,61500.0,25500.0
113,53500.0,22500.0
114,54499.99999999999,25999.999999999996
115,58500.0,27500.0
116,60000.0,24000.0
117,72000.0,30000.0
118,73000.0,24500.0
119,55000.0,18500.0
120,63000.00000000001,27500.0
121,52500.0,24000.0
122,72000.0,24000.0
123,56000.0,22500.0
124,62000.0,27000.0
125,66000.0,25000.0
126,55000.0,23000.0
127,55000.0,24000.0
128,60000.0,24500.0
129,65000.0,23000.0
130,67500.0,23499.999999999996
131,71500.0,29000.0
132,60000.0,25000.0
133,56999.99999999999,21500.0
134,58500.0,20000.0
135,69000.0,26500.0
136,59499.99999999999,29000.0
137,59500.0,24500.0
138,54000.0,24000.0
139,61500.0,26000.0
140,61500.0,27500.0
141,60000.0,27000.0
142,54499.99999999999,23000.0
143,63500.0,27500.0
144,62000.0,29000.0
145,59500.0,26500.0
146,56500.0,22000.0
147,58500.0,25000.0
148,58000.00000000001,28499.999999999996
149,55000.0,24000.0
