,Binary_Data
0,00100000
1,00010000
2,00010000
3,00010000
4,00100000
5,01110000
6,00100000
7,00100000
8,00010000
9,00010000
10,01100000
11,00100000
12,00010000
13,00010000
14,01110000
15,01110000
16,01110000
17,00100000
18,01100000
19,00100000
20,01100000
21,00100000
22,00100000
23,00100000
24,00100000
25,00010000
26,00100000
27,00100000
28,00100000
29,00010000
30,00010000
31,01100000
32,00110000
33,01110000
34,00010000
35,00010000
36,01100000
37,00010000
38,00010000
39,00100000
40,00100000
41,00000000
42,00010000
43,00100000
44,00100000
45,00010000
46,00100000
47,00010000
48,01100000
49,00100000
50,10011010
51,10011010
52,10011010
53,01001001
54,10011010
55,01011001
56,10101010
57,00000101
58,10011001
59,00010110
60,00000101
61,01011010
62,01001001
63,01011010
64,01010101
65,10011010
66,01011010
67,01011001
68,10001010
69,01000101
70,01011010
71,01011001
72,10001010
73,01011001
74,10011001
75,10011010
76,10011010
77,10011010
78,01011010
79,01000101
80,01000101
81,01000101
82,01010101
83,01011010
84,01011010
85,01101010
86,10011010
87,10001001
88,01011001
89,01001001
90,01001001
91,01011010
92,01001001
93,00000101
94,01011001
95,01011001
96,01011001
97,10011001
98,00000101
99,01011001
100,10101111
101,01011010
102,11011111
103,10011110
104,10011111
105,11011111
106,00001010
107,11011110
108,10001110
109,11101111
110,10011011
111,10011010
112,10011111
113,01001011
114,01011011
115,10011011
116,10011110
117,11101111
118,11001111
119,01001010
120,10011111
121,01011011
122,11011111
123,10011010
124,10101111
125,11011110
126,10011010
127,01011010
128,10011111
129,11011110
130,11011110
131,11101111
132,10011111
133,10011010
134,01001110
135,11011111
136,10101111
137,10011110
138,01011010
139,10011011
140,10011111
141,10011011
142,01011010
143,10011111
144,10101111
145,10011011
146,10001010
147,10011011
148,10101011
149,01011010
