,Binary_Data
0,0000010010000000110000000000000100100000000000000011000000110000000000110000001100000011
1,0101100101000001110000010000110100000101000000000111010001110000000001110001011000000111
2,0000100001000000110000100000000000000001000000100011000000110000000000110010001000000011
3,0000100001000000110000000000000000000010000000000011000000110000000000110010001000000011
4,0000100001000000110000000000000000000010000100000011000000110000000000110000001100000011
5,0000010010000000110000110000000000000000000000000011000000110000000000110010001000000011
6,0000100001000000110000010000000000000110000000000011000000110011000000110001001000000011
7,0000110000000000110000110000000000010000000000000011000000110000000000110001001100000011
8,0000100001000000111100101111000000000001000000100011000000110000000000110010001000000011
9,1111101001000011110011101100000000001101100000001111110010111111000011111010101000001111
10,0101100101000001111101011101000000001010000000000111010001110011000001110110011000000111
11,0000100001000000110000010000000000000010000000000011000000110000000000110010001000000011
12,0000110000000000110000000000000000100000000100000011000000110000000000110011000100000011
13,0000100001000000110000000000000000110000000000000011000000110000000000110011000100000011
14,0000110000000000110000000000000000110000010100000011000000110000000000110010001000000011
15,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
16,0001100000000000110000000000000001110000010000000011000000110000000000110010001000000011
17,0000100001000000110000000000000000000010000000000011000000110000000000110000001100000011
18,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
19,1011110100000010110000000000000011110000010000001011010010110000000010111111010100001011
20,1111101101000011110000000000010011100100110011001111110011111011000011111001111100001111
21,1010100101000010110000000000000010110000100001001011000010110000000010110000101100001011
22,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
23,0000010001000000110000000000001100000000000000000011000000110000000000110000001100000011
24,0000010001000000110000100000000000000000001100000011001100000000000000110000001100000011
25,0000000011000000110000100000000000000001000000000011000100010000000000110000001100000011
26,0000010010000000110000000000000000110000000000000011000000110000000000110000001100000011
27,0000100001000000110000000000000000100000000000110011000000110000000000110001001000000011
28,0000000010000000110000000000000000000011000000000011000000100000000000110000001100000011
29,0000100001000000110000110000000000000000000000000011000000110000000000110001001100000011
30,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
31,0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
