,0
0,0100000000
1,0000001011
2,0010000001
3,0001000001
4,0110001101
5,0000000011
6,0101001000
7,0000000000
8,0000000000
9,0001000010
10,0001000101
11,0000000010
12,0000010111
13,0000000110
14,0000010110
15,0000000110
16,0000000001
17,0000000001
18,0000010010
19,0001000111
20,0000010101
21,0000000010
22,0001000110
23,0000000001
24,0000000011
25,0000000111
26,0000000111
27,0000010011
28,0000000110
29,0001000110
30,0000000101
31,0000000110
32,0000000111
33,0000000110
34,0001000011
35,0000000101
36,0000000111
37,0000000110
38,0001000011
39,0000010111
40,0001010111
41,0000000010
42,0001010001
43,0000000101
44,0001010101
45,0001000111
46,0000010001
47,0000010010
48,0001000011
49,0000010010
50,0000000111
51,0000000101
52,0000000111
53,0000000111
54,0000000111
55,0000010001
56,0000000001
57,0000000011
58,0000000110
59,0001000111
60,0001000110
61,0000010011
62,0000000001
63,0000000110
64,0000000111
65,0000000101
66,0000000010
67,0001010010
68,0000010111
69,0000010010
70,0000010110
71,0000010010
72,0000000010
73,0000000010
74,0000000111
75,0000000110
76,0000010110
77,0000000101
78,0000000111
79,0000000010
80,0000010111
81,0000000101
82,0000000001
83,0000000110
84,0000010101
85,0000000101
86,0001000010
87,0001000001
88,0000000111
89,0001010111
90,0000000110
91,0000000011
92,0000000110
93,0000010110
94,0000010101
95,0000010110
96,0000010010
97,0000000101
98,0000000111
99,0000000110
100,0000000110
101,0000000111
102,0001000111
103,0000000010
104,0000000011
105,0000000111
106,0000000101
107,0000010010
108,0000010010
109,0001010011
110,0001010001
111,0000000111
112,0001000011
113,0001000001
114,0001000010
115,0000010010
116,0000000010
117,0001000110
118,0000000101
119,0000000111
120,0001010110
121,0000000111
122,0000010001
123,0000000111
124,0000010010
125,0000000101
126,0001000111
127,0000010011
128,0001000101
129,0000000110
130,0000000110
131,0000000001
132,0001000010
133,0000000111
134,0001000110
135,0000010010
136,0000000011
137,0000000111
138,0000000111
139,0000000011
140,0000000011
141,0000000101
142,0001000111
143,0000000101
144,0001010111
145,0000000101
146,0000000011
147,0000010110
148,0000010011
149,0000000010
150,0000010011
151,0000000101
152,0000010010
153,0001000110
154,0001010011
155,0000000101
156,0000010110
157,0000010111
158,0000010111
159,0000010001
160,0000000011
161,0000010101
162,0000000001
163,0000000111
164,0001000111
165,0000000111
166,0001000110
167,0001010010
168,0000000111
169,0000000110
170,0000000011
171,0000010010
172,0000000110
173,0000000111
174,0001000010
175,0000000001
176,0000010001
177,0000000111
178,0000000110
179,0000010001
180,0000000001
181,0000000011
182,0000000010
183,0000010111
184,0001000001
185,0000000101
186,0000010010
187,0000010011
188,0000000001
