,0
0,11001001101010011001011110
1,10000100011010000101011110
2,10011001011010011101011010
3,11001001011110001010011111
4,10011110101001010101011001
5,11001000011110010101011011
6,11001000011001010101011110
7,11011001101001010101011110
8,11000100011010010101011010
9,10000101011010000110011110
10,11011001011010001001101011
11,11001001010101000101101010
12,10001001001010010101101010
13,11001000001010101101101010
14,11001000011110011110101011
15,10001001011010010110101010
16,11001001101010010101011010
17,10001001011010100101100110
18,11001001011111010110101011
19,10011000011010000101011101
20,11000101101010001001011101
21,10101001010101000101011101
22,10001001011010010100101110
23,01001001011001000100011110
24,10001001011001010100101101
25,10011110101001100100101001
26,10001001001010010101011010
27,10000101010101010100011010
28,10001101011010010101101101
29,11000101011001000101011110
30,10001010011010011001101010
31,10001001011010000101011011
32,10001001010101100100101010
33,10001001101010100101101010
34,10001001010101010100101010
35,10001010011010000101011101
36,10001101011001010101011001
37,10001001011001010101100110
38,10000101010101010100101010
39,11101000101010001001011101
40,10001001101010011001011101
41,10100101001001010101011010
42,11001000011110000101011110
43,10100101011001010101011001
44,10000101011010011001011101
45,11101001011001010101011110
46,11100101011110011001011110
47,11000101011010001001011110
48,11011001011010011001011010
49,11000101011010011010101010
50,10000100001010001110101010
51,10001001011010001001101110
52,10001000011110010101011010
53,10001001011010010101101011
54,10000101101010000101011010
55,10001010011010001001011010
56,11001001101110001001011001
57,10001001011010010101011010
58,10001001011110001001011010
59,01000000000100010000010000
60,01000101010100110000100001
61,01000101010100110001010000
62,10000101010101010000100101
63,01000101001110000101101000
64,01001001010101100000110100
65,01001001010101011001100101
66,10000000001010001001101000
67,01000101000101010001101100
68,10001001011000110000010001
69,01000001110100001000101001
70,01000110010000010100010001
71,10001010001010000100101000
72,10000110000101010000011000
73,10001011101110000100101110
74,00001010011101000100011001
75,00000101010001010000100100
76,10000001000101000101100100
77,00010101010100100000010100
78,01000100100101011000010101
79,01101010011001100100101000
80,01000101000101010100101000
81,01000101000101000100101001
82,01001010000101100100101001
83,10101010000001110101010100
84,00001001010101001000011000
85,01000101010101010100101000
86,01001010000101100100100100
87,00001011000101100100101000
88,00011010000101100100011001
89,01001010000101100100011000
90,01001001000000100100010100
91,01001010000000100100011000
92,01000110000000110100010100
93,01010101001001000100101000
94,00000101011001000100101000
95,01000101111001011100100101
96,00011010100000000100010100
97,01000101001001010100101000
98,01000101001110000101011001
99,01010101001010101100111000
100,01010001010101000100101001
101,01000101000000010100011000
102,01011010011001010100011100
103,00000101001001010100010100
104,01000110000101010100011101
105,01010110000001110100011000
106,01000101000001010100011000
107,01000110000001100100010100
108,01000101000101011000011000
109,00001001011010011000011001
110,00100001011101001100001000
111,01010110001001000100011000
112,00011101010101110000100100
113,00001010001001100100100100
114,01001010001001100000011000
115,00000110001001101000111000
116,00000110000101010100011100
117,01000110010101010100011000
118,01100101000000100000000100
119,01100101000101010100011000
120,00011001011010010100011100
121,00011111101111100101011100
122,01101011010101100100011000
123,10110110001001011000001000
124,00101010001010001100001100
125,01010110001001010100011000
126,01000110001010010100001000
127,00011111000101110100010100
128,01001010000101100100011000
129,01101010000101100100010100
130,01001001100000000000000001
131,01011001010000000001000000
132,01011010010000010001000000
133,01101010010000000001000000
134,01000101000100110101000001
135,01010101010000110001000001
136,01111010000000110000000001
137,01111010010100110001010000
138,10100101000000110001010000
139,01011010010100110001010100
140,10011010010000110001000100
141,10011001000000010001000101
142,10011010010000100001010100
143,10111001000100100001010100
144,01100101010000010010000101
145,10100110010000100100000001
146,11110101000000100001000000
147,01111010000000100010000000
148,10011010000100100110000001
149,10101010010000010010000000
150,10011010100001000110000000
151,01011010010000000111000000
152,10001011010100000101000000
153,10100101010100110111000001
154,01000101010000110110000001
155,10111010000100110110000001
156,10101001000100100110000000
157,01011011010100110010000001
158,11001010011000111011000101
159,10001010001000101011000000
160,01101010000100100010000000
161,10011001010100100001010001
162,01011010010000110001010100
163,10101001010000100001000001
164,10011010000000100010000000
165,10100110000000100001000000
166,10101010010000100111010001
167,01101001000000100011000001
168,10011010010000010110000001
169,10111110010100010010000001
170,01011001010000100001000000
171,01010101000000100010000000
172,11011001000000100110000001
173,10111010010000100010000001
174,10101010010100100110000001
175,10100101100000100111000001
176,10011001100000110110000001
177,11101010010100110110000000
