,date,precip:,hail,area-damaged,seed-tmt,plant-growth,leafspots-halo,leafspot-size,leaf-malf,stem,stem-cankers,fruiting-bodies,mycelium,sclerotia,fruit spots,mold-growth,seed-size,roots
0,100,10,00,00,01,01,00,10,00,01,11,01,00,00,11,00,00,00
1,11,10,00,00,01,01,00,10,00,01,11,01,00,00,11,00,00,00
2,11,10,00,00,00,01,00,10,00,01,11,01,00,00,11,00,00,00
3,110,10,00,00,00,01,00,10,00,01,11,01,00,00,11,00,00,00
4,101,10,00,00,00,01,00,10,00,01,11,01,00,00,11,00,00,00
5,101,10,00,00,01,01,00,10,00,01,11,01,00,00,11,00,00,00
6,100,10,01,00,00,01,00,10,00,01,11,01,00,00,11,00,00,00
7,110,10,00,00,01,01,00,10,00,01,11,01,00,00,11,00,00,00
8,100,10,00,00,00,01,00,10,00,01,11,01,00,00,11,00,00,00
9,110,00,00,11,01,01,00,10,00,01,00,00,00,01,11,00,00,00
10,100,00,01,11,01,01,00,10,00,01,00,00,00,01,11,00,00,00
11,11,00,00,10,00,01,00,10,00,01,00,00,00,01,11,00,00,00
12,110,00,01,11,01,01,00,10,00,01,00,00,00,01,11,00,00,00
13,110,00,00,11,01,01,00,10,00,01,00,00,00,01,11,00,00,00
14,101,00,01,11,01,01,00,10,00,01,00,00,00,01,11,00,00,00
15,110,00,01,10,00,01,00,10,00,01,00,00,00,01,11,00,00,00
16,100,00,00,10,00,01,00,10,00,01,00,00,00,01,11,00,00,00
17,11,00,00,10,00,01,00,10,00,01,00,00,00,01,11,00,00,00
18,101,00,01,10,00,01,00,10,00,01,00,00,00,01,11,00,00,00
19,01,10,00,01,00,01,00,10,00,01,01,00,01,00,11,00,00,00
20,01,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
21,11,10,01,01,00,01,00,10,00,01,01,00,01,00,11,00,00,00
22,00,10,00,01,01,01,00,10,00,01,01,00,00,00,11,00,00,00
23,00,10,00,01,01,01,00,10,00,01,01,00,00,00,11,00,00,00
24,01,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
25,01,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
26,10,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
27,01,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
28,10,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
29,00,10,01,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
32,01,10,00,01,01,01,00,10,00,01,10,00,00,00,11,00,00,00
35,00,01,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
36,11,10,00,01,01,01,00,10,00,01,10,00,00,00,11,00,00,00
38,10,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
41,00,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
42,00,01,01,01,01,01,00,10,00,01,10,00,00,00,11,00,00,00
43,11,10,00,01,01,01,00,10,00,01,10,00,00,00,11,00,00,00
45,00,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
47,10,10,01,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
48,00,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
49,01,10,00,01,01,01,00,10,00,01,10,00,00,00,11,00,00,00
54,01,10,01,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
61,10,10,00,01,00,01,00,10,00,01,01,00,00,00,11,00,00,00
64,01,10,00,01,01,01,00,10,00,01,10,00,00,00,11,00,00,00
67,11,01,00,01,01,01,00,10,00,01,10,00,00,00,11,00,00,00
69,100,00,00,11,01,00,00,10,00,01,00,00,00,00,00,00,00,00
70,100,00,00,11,01,00,00,10,00,01,00,00,00,00,00,00,00,00
71,11,00,00,00,01,01,00,10,00,01,00,00,00,00,11,00,00,00
72,101,00,00,11,01,00,00,10,00,01,00,00,00,00,00,00,00,00
73,101,00,00,11,01,00,00,10,00,01,00,00,00,00,00,00,00,00
74,100,00,00,10,00,00,00,10,00,01,00,00,00,00,00,00,00,00
75,101,00,01,11,00,01,10,01,00,01,00,00,00,00,11,00,00,00
76,110,01,01,00,01,01,00,01,00,01,00,00,00,00,11,00,00,00
77,101,00,00,10,00,01,00,10,00,01,00,00,00,00,11,00,00,00
78,101,00,00,11,01,01,10,01,00,01,00,00,00,00,11,00,00,00
79,100,01,01,11,01,01,00,10,00,01,00,00,00,00,11,00,00,00
80,100,00,00,10,01,01,10,01,00,01,00,00,00,00,11,00,00,00
81,100,00,00,00,01,00,00,10,00,01,00,00,00,00,00,00,00,00
82,11,00,00,00,00,01,10,01,00,01,00,00,00,00,11,00,00,00
83,101,00,00,10,00,00,00,10,00,01,00,00,00,00,00,00,00,00
84,100,00,00,11,01,00,00,10,00,01,00,00,00,00,00,00,00,00
85,100,00,00,10,00,00,00,10,00,01,00,00,00,00,00,00,00,00
86,100,00,00,10,01,00,00,10,00,01,00,00,00,00,00,00,00,00
87,100,00,00,10,00,00,00,10,00,01,00,00,00,00,00,00,00,00
88,11,00,00,10,00,00,00,10,00,01,00,00,00,00,00,00,00,00
89,101,00,01,11,00,00,00,10,00,00,00,00,00,00,00,00,00,00
90,110,01,01,00,01,00,00,10,00,00,00,00,00,00,00,00,00,00
91,01,00,00,11,10,00,00,10,00,00,00,00,00,00,00,00,00,00
92,110,01,00,10,01,00,00,10,00,00,00,00,00,00,00,00,00,00
93,100,01,00,10,10,00,00,10,00,00,00,00,00,00,00,00,00,00
94,110,00,01,01,00,00,00,10,00,00,00,00,00,00,00,00,00,00
95,10,01,00,10,00,00,00,10,00,00,00,00,00,00,00,00,00,00
96,110,00,00,01,01,00,00,10,00,00,00,00,00,00,00,00,00,00
97,101,00,00,01,00,00,00,10,00,00,00,00,00,00,00,00,00,00
98,01,00,00,01,10,00,00,10,00,00,00,00,00,00,00,00,00,00
99,110,10,01,01,01,00,10,01,01,00,00,00,00,00,00,01,00,00
100,10,10,01,01,01,00,10,01,01,00,00,00,00,00,00,01,00,00
101,01,10,01,10,00,00,01,01,00,00,00,00,00,00,00,01,00,00
102,100,10,00,10,00,00,01,01,01,00,00,00,00,00,00,01,00,00
103,01,10,01,00,00,00,01,01,00,00,00,00,00,00,00,01,00,00
104,10,10,00,00,00,00,01,01,00,00,00,00,00,00,00,01,00,00
105,10,10,00,00,00,00,10,01,00,00,00,00,00,00,00,01,00,00
106,100,10,00,01,01,00,01,01,00,00,00,00,00,00,00,01,00,00
107,100,10,00,10,00,00,10,01,00,00,00,00,00,00,00,01,00,00
108,101,10,00,10,00,00,01,01,00,00,00,00,00,00,00,01,00,00
109,01,10,01,11,00,01,10,01,00,00,00,00,00,00,00,00,00,00
110,10,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
111,10,10,00,11,01,00,10,01,00,00,00,00,00,00,00,00,00,00
