,binarised
0,1001000000101001000011101000011000000
1,111000000101001000011101000011000000
2,111000000001001000011101000011000000
3,1101000000001001000011101000011000000
4,1011000000001001000011101000011000000
5,1011000000101001000011101000011000000
6,1001001000001001000011101000011000000
7,1101000000101001000011101000011000000
8,1001000000001001000011101000011000000
9,1100000110101001000010000000111000000
10,1000001110101001000010000000111000000
11,110000100001001000010000000111000000
12,1100001110101001000010000000111000000
13,1100000110101001000010000000111000000
14,1010001110101001000010000000111000000
15,1100001100001001000010000000111000000
16,1000000100001001000010000000111000000
17,110000100001001000010000000111000000
18,1010001100001001000010000000111000000
19,011000010001001000010100010011000000
20,011000010001001000010100000011000000
21,111001010001001000010100010011000000
22,001000010101001000010100000011000000
23,001000010101001000010100000011000000
24,011000010001001000010100000011000000
25,011000010001001000010100000011000000
26,101000010001001000010100000011000000
27,011000010001001000010100000011000000
28,101000010001001000010100000011000000
29,001001010001001000010100000011000000
32,011000010101001000011000000011000000
35,000100010001001000010100000011000000
36,111000010101001000011000000011000000
38,101000010001001000010100000011000000
41,001000010001001000010100000011000000
42,000101010101001000011000000011000000
43,111000010101001000011000000011000000
45,001000010001001000010100000011000000
47,101001010001001000010100000011000000
48,001000010001001000010100000011000000
49,011000010101001000011000000011000000
54,011001010001001000010100000011000000
61,101000010001001000010100000011000000
64,011000010101001000011000000011000000
67,110100010101001000011000000011000000
69,1000000110100001000010000000000000000
70,1000000110100001000010000000000000000
71,110000000101001000010000000011000000
72,1010000110100001000010000000000000000
73,1010000110100001000010000000000000000
74,1000000100000001000010000000000000000
75,1010001110001100100010000000011000000
76,1100101000101000100010000000011000000
77,1010000100001001000010000000011000000
78,1010000110101100100010000000011000000
79,1000101110101001000010000000011000000
80,1000000100101100100010000000011000000
81,1000000000100001000010000000000000000
82,110000000001100100010000000011000000
83,1010000100000001000010000000000000000
84,1000000110100001000010000000000000000
85,1000000100000001000010000000000000000
86,1000000100100001000010000000000000000
87,1000000100000001000010000000000000000
88,110000100000001000010000000000000000
89,1010001110000001000000000000000000000
90,1100101000100001000000000000000000000
91,010000111000001000000000000000000000
92,1100100100100001000000000000000000000
93,1000100101000001000000000000000000000
94,1100001010000001000000000000000000000
95,100100100000001000000000000000000000
96,1100000010100001000000000000000000000
97,1010000010000001000000000000000000000
98,010000011000001000000000000000000000
99,1101001010100100101000000000000010000
100,101001010100100101000000000000010000
101,011001100000010100000000000000010000
102,1001000100000010101000000000000010000
103,011001000000010100000000000000010000
104,101000000000010100000000000000010000
105,101000000000100100000000000000010000
106,1001000010100010100000000000000010000
107,1001000100000100100000000000000010000
108,1011000100000010100000000000000010000
109,011001110001100100000000000000000000
110,101000110100100100000000000000000000
111,101000110100100100000000000000000000
112,101000001000100100000000000000000000
113,011001110101100100000000000000000000
114,011000110000100100000000000000000000
115,001001111000100100000000000000000000
116,101000110000100100000000000000000000
117,011000110100100100000000000000000000
118,101000110000100100000000000000000000
119,1011000100000100100011101000000000000
120,011000110100100100000000000000000000
121,011000111000100100000000000000000000
122,1001000110000100100011101000000000000
123,011000110000100100000000000000000000
124,1001000110000100100011101000000000000
125,101000110000100100000000000000000000
126,000101101001100100000000000000000000
127,010101000000100100000000000000000000
128,011000001000100100000000000000000000
129,011000110000100100011101000000000000
130,101000110100100100000000000000000000
131,111000111000100100010001000000000000
132,101001010101100100000000000000000000
133,011000111000100100000000000000000000
134,011000110000100100000000000000000000
135,1011000110000100100011101000000000000
136,1000101100000100100011101000001000000
137,111000110000100100011101000000000000
138,011000110000100100000000000000000000
139,1001000110100100100010001000000000000
140,101000110000100100000000000000000000
141,100101000100100100000000000000000000
142,111000010000100100011101000000000000
143,111000111000100100010001000000000000
144,101000100000100100011101000000000000
145,111000010000100100000000000000000000
146,111000010000100100011101000000000000
147,101000111000100100000000000000000000
148,1011000110000100100010001000000000000
149,1011001110100100000000000000000000000
150,1001001110100100000000000000000000000
151,100100000000010000000000000000000000
152,110100100000010000000000000000000000
153,110100100000010001000000000000000000
154,111001010100100000000000000000000000
155,110100000000010000000000000000000000
156,1001001110100100000000000000000000000
157,100100010000010000000000000000000000
158,1001001010100100000000000000000000000
159,100100100000010000000000000000000010
160,111001110101100000000000000000010000
161,100100000000010000000000000000000000
162,1001000000000010001000000000000000101
163,111001010000010000000000000000010101
164,110100000000100000000000000000000001
165,110101110001010000000000000000010100
166,111000100000010000000000000000000101
167,1000101110000010000000000000000010100
168,1010100000100010000000000000000000001
169,1101001100000001000010000000001000000
170,1101000100100100000010000000001000000
171,1001001010100001000000000000000000000
172,1001001000000100000000000000000000000
173,1001000000000100000000000000000000000
174,1101000100000100000010000000001000000
175,111001000000001000000000000000000000
176,111001110100001000000000000000000000
177,1011000010000100000010000000001000000
178,1001000000100001000010000000000000000
179,1011000110100001000011100000010000000
180,1011001100100001000011101000010010000
181,1101000010100001000011101000010010100
182,101001000001001000011000000000000000
183,111000110001001000011101000010010000
184,1001001100001001000011101000010000000
185,1101000100000001000011101000010010100
186,011000010101001000011000000000000000
187,1101000100100001000011101000010010100
188,1011000011001001000011101000010010000
189,1011001110101001000011101000010000000
190,001000110101001000011000000000010100
191,1101000100001001000011101000010000100
192,1011000010000001000011100000010010100
193,1011000100000001000011101000010000000
194,1101001000000001000011101000010000000
195,1011000010000001000011101000010010100
196,1101001111000001000011101000010000000
197,1011000110000001000011100000010010100
198,1011000100100001000011100000010010100
199,110100100000100100000000000000000000
200,110001100000100101000000000000000000
201,110100000000100100000000000000000000
202,110001000000100100000000000000000000
203,110100100100100101000000000000000000
204,100001111000100100000000000000000000
205,010001100100100101000000000000000000
206,100100100100100101000000000000000000
207,100001000101100100000000000000000000
208,100100111000100100000000000000000000
209,1001000010100100100000000000000000000
210,1000100110000100100000000000000000000
211,111000000000100100000000000000000000
212,1101000110100100100000000000000000000
213,1100101101000100100000000000000000000
214,1011000110000100100000000000000000000
215,1100100110100100100000000000000000000
216,1011000010000100100000000000000000000
217,1101000110100100100000000000000000000
218,1101000100100100100000000000000000000
219,1011000110000100100000000000000000000
220,1001000000100100100000000000000000000
221,1101000010100100100000000000000000000
222,1011000100000100100000000000000000000
223,1011000000000100100000000000000000000
224,1001000100000100100000000000000000000
225,1001000010100100100000000000000000000
226,1011000010000100100000000000000000000
227,1101000100100100100000000000000000000
228,1101000010100100100000000000000000000
229,1011000010000100100000000000000000000
230,1011000110100100100000000000000000000
231,1001000010000100100000000000000000000
232,1100100101000100100000000000000000000
233,1001000100100100100000000000000000000
234,1101000010100100100000000000000000000
235,1001000110000100100000000000000000000
236,1001000110000100100000000000000000000
237,1011000110000100100000000000000000000
238,111000000000100100000000000000000000
239,1011000100100100100000000000000000000
240,1011000010100100100000000000000000000
241,1001000010000100100000000000000000000
242,1011000110100100100000000000000000000
243,1101000010000100100000000000000000000
244,1011000110000100100000000000000000000
245,1101000110000100100000000000000000000
