,top-left-square,top-middle-square,top-right-square,middle-left-square,middle-middle-square,middle-right-square,bottom-left-square,bottom-middle-square,bottom-right-square
0,10,10,10,10,01,01,01,10,01
1,10,10,10,10,01,01,01,01,10
2,10,10,10,10,01,01,01,00,00
3,10,10,10,10,01,01,00,01,00
4,10,10,10,10,01,01,00,00,01
5,10,10,10,10,01,00,01,01,00
6,10,10,10,10,01,00,01,00,01
7,10,10,10,10,01,00,00,01,01
8,10,10,10,10,00,01,01,01,00
9,10,10,10,10,00,01,01,00,01
10,10,10,10,10,00,01,00,01,01
11,10,10,10,01,10,01,10,01,01
12,10,10,10,01,10,01,01,10,01
13,10,10,10,01,10,01,01,01,10
14,10,10,10,01,10,01,01,00,00
15,10,10,10,01,10,01,00,01,00
16,10,10,10,01,10,01,00,00,01
17,10,10,10,01,10,00,01,01,00
18,10,10,10,01,10,00,01,00,01
19,10,10,10,01,10,00,00,01,01
20,10,10,10,01,01,10,10,01,01
21,10,10,10,01,01,10,01,10,01
22,10,10,10,01,01,10,01,01,10
23,10,10,10,01,01,10,01,00,00
24,10,10,10,01,01,10,00,01,00
25,10,10,10,01,01,10,00,00,01
26,10,10,10,01,01,00,10,01,00
27,10,10,10,01,01,00,10,00,01
28,10,10,10,01,01,00,01,10,00
29,10,10,10,01,01,00,01,00,10
30,10,10,10,01,01,00,00,10,01
31,10,10,10,01,01,00,00,01,10
32,10,10,10,01,01,00,00,00,00
33,10,10,10,01,00,10,01,01,00
34,10,10,10,01,00,10,01,00,01
35,10,10,10,01,00,10,00,01,01
36,10,10,10,01,00,01,10,01,00
37,10,10,10,01,00,01,10,00,01
38,10,10,10,01,00,01,01,10,00
39,10,10,10,01,00,01,01,00,10
40,10,10,10,01,00,01,00,10,01
41,10,10,10,01,00,01,00,01,10
42,10,10,10,01,00,01,00,00,00
43,10,10,10,01,00,00,10,01,01
44,10,10,10,01,00,00,01,10,01
45,10,10,10,01,00,00,01,01,10
46,10,10,10,01,00,00,01,00,00
47,10,10,10,01,00,00,00,01,00
48,10,10,10,01,00,00,00,00,01
49,10,10,10,00,10,01,01,01,00
50,10,10,10,00,10,01,01,00,01
51,10,10,10,00,10,01,00,01,01
52,10,10,10,00,01,10,01,01,00
53,10,10,10,00,01,10,01,00,01
54,10,10,10,00,01,10,00,01,01
55,10,10,10,00,01,01,10,01,00
56,10,10,10,00,01,01,10,00,01
57,10,10,10,00,01,01,01,10,00
58,10,10,10,00,01,01,01,00,10
59,10,10,10,00,01,01,00,10,01
60,10,10,10,00,01,01,00,01,10
61,10,10,10,00,01,01,00,00,00
62,10,10,10,00,01,00,10,01,01
63,10,10,10,00,01,00,01,10,01
64,10,10,10,00,01,00,01,01,10
65,10,10,10,00,01,00,01,00,00
66,10,10,10,00,01,00,00,01,00
67,10,10,10,00,01,00,00,00,01
68,10,10,10,00,00,01,10,01,01
69,10,10,10,00,00,01,01,10,01
70,10,10,10,00,00,01,01,01,10
71,10,10,10,00,00,01,01,00,00
72,10,10,10,00,00,01,00,01,00
73,10,10,10,00,00,01,00,00,01
74,10,10,10,00,00,00,01,01,00
75,10,10,10,00,00,00,01,00,01
76,10,10,10,00,00,00,00,01,01
77,10,10,01,10,10,01,01,01,10
78,10,10,01,10,01,10,10,01,01
79,10,10,01,10,01,01,10,01,10
80,10,10,01,10,01,01,10,00,00
81,10,10,01,10,01,00,10,01,00
82,10,10,01,10,01,00,10,00,01
83,10,10,01,10,00,01,10,01,00
84,10,10,01,10,00,00,10,01,01
85,10,10,01,01,10,10,01,10,01
86,10,10,01,01,10,10,01,01,10
87,10,10,01,01,10,01,10,01,10
88,10,10,01,01,10,01,01,10,10
89,10,10,01,01,10,01,00,10,00
90,10,10,01,01,10,01,00,00,10
91,10,10,01,01,10,00,01,10,00
92,10,10,01,01,10,00,01,00,10
93,10,10,01,01,10,00,00,10,01
94,10,10,01,01,10,00,00,01,10
95,10,10,01,00,10,01,01,10,00
96,10,10,01,00,10,01,01,00,10
97,10,10,01,00,10,01,00,01,10
98,10,10,01,00,10,00,01,10,01
99,10,10,01,00,10,00,01,01,10
100,10,10,00,10,01,01,10,01,00
101,10,10,00,10,01,01,10,00,01
102,10,10,00,10,01,00,10,01,01
103,10,10,00,10,00,01,10,01,01
104,10,10,00,01,10,01,01,10,00
105,10,10,00,01,10,01,01,00,10
106,10,10,00,01,10,01,00,10,01
107,10,10,00,01,10,01,00,01,10
108,10,10,00,01,10,00,01,10,01
109,10,10,00,01,10,00,01,01,10
110,10,10,00,00,10,01,01,10,01
111,10,10,00,00,10,01,01,01,10
112,10,01,10,10,10,01,10,01,01
113,10,01,10,10,10,01,01,01,10
114,10,01,10,10,01,01,10,10,01
115,10,01,10,10,01,01,10,00,00
116,10,01,10,10,01,00,10,00,01
117,10,01,10,10,00,01,10,01,00
118,10,01,10,10,00,01,10,00,01
119,10,01,10,10,00,00,10,01,01
120,10,01,10,01,10,10,10,01,01
121,10,01,10,01,10,10,01,01,10
122,10,01,10,01,10,01,10,10,01
123,10,01,10,01,10,01,10,01,10
124,10,01,10,01,10,01,10,00,00
125,10,01,10,01,10,01,01,10,10
