,binarised
0,101010100101011001
1,101010100101010110
2,101010100101010000
3,101010100101000100
4,101010100101000001
5,101010100100010100
6,101010100100010001
7,101010100100000101
8,101010100001010100
9,101010100001010001
10,101010100001000101
11,101010011001100101
12,101010011001011001
13,101010011001010110
14,101010011001010000
15,101010011001000100
16,101010011001000001
17,101010011000010100
18,101010011000010001
19,101010011000000101
20,101010010110100101
21,101010010110011001
22,101010010110010110
23,101010010110010000
24,101010010110000100
25,101010010110000001
26,101010010100100100
27,101010010100100001
28,101010010100011000
29,101010010100010010
30,101010010100001001
31,101010010100000110
32,101010010100000000
33,101010010010010100
34,101010010010010001
35,101010010010000101
36,101010010001100100
37,101010010001100001
38,101010010001011000
39,101010010001010010
40,101010010001001001
41,101010010001000110
42,101010010001000000
43,101010010000100101
44,101010010000011001
45,101010010000010110
46,101010010000010000
47,101010010000000100
48,101010010000000001
49,101010001001010100
50,101010001001010001
51,101010001001000101
52,101010000110010100
53,101010000110010001
54,101010000110000101
55,101010000101100100
56,101010000101100001
57,101010000101011000
58,101010000101010010
59,101010000101001001
60,101010000101000110
61,101010000101000000
62,101010000100100101
63,101010000100011001
64,101010000100010110
65,101010000100010000
66,101010000100000100
67,101010000100000001
68,101010000001100101
69,101010000001011001
70,101010000001010110
71,101010000001010000
72,101010000001000100
73,101010000001000001
74,101010000000010100
75,101010000000010001
76,101010000000000101
77,101001101001010110
78,101001100110100101
79,101001100101100110
80,101001100101100000
81,101001100100100100
82,101001100100100001
83,101001100001100100
84,101001100000100101
85,101001011010011001
86,101001011010010110
87,101001011001100110
88,101001011001011010
89,101001011001001000
90,101001011001000010
91,101001011000011000
92,101001011000010010
93,101001011000001001
94,101001011000000110
95,101001001001011000
96,101001001001010010
97,101001001001000110
98,101001001000011001
99,101001001000010110
100,101000100101100100
101,101000100101100001
102,101000100100100101
103,101000100001100101
104,101000011001011000
105,101000011001010010
106,101000011001001001
107,101000011001000110
108,101000011000011001
109,101000011000010110
110,101000001001011001
111,101000001001010110
112,100110101001100101
113,100110101001010110
114,100110100101101001
115,100110100101100000
116,100110100100100001
117,100110100001100100
118,100110100001100001
119,100110100000100101
120,100110011010100101
121,100110011010010110
122,100110011001101001
123,100110011001100110
124,100110011001100000
125,100110011001011010
126,100110011001000010
127,100110011000100100
128,100110011000100001
129,100110011000010010
130,100110011000000110
131,100110010110011010
132,100110010110000010
133,100110010010010010
134,100110010010000110
135,100110001001100100
136,100110001001100001
137,100110001001010010
138,100110001001000110
139,100110001000100101
140,100110001000010110
141,100110000110010010
142,100110000010010110
143,100101101010100101
144,100101101010011001
145,100101101010010110
146,100101101010010000
147,100101101010000100
148,100101101010000001
149,100101101001100110
150,100101101001100000
151,100101101001011010
152,100101101001000010
153,100101101000100100
154,100101101000100001
155,100101101000010010
156,100101101000000110
157,100101100110101001
158,100101100110100000
159,100101100101101010
160,100101100100101000
161,100101100100100010
162,100101100010100100
163,100101100010100001
164,100101100001101000
165,100101100001100010
166,100101100000101001
167,100101100000100110
168,100101100000100000
169,100101011010100110
170,100101011010011010
171,100101011010000010
172,100101011001101010
173,100101011000100010
174,100101011000001010
175,100101010110101010
176,100101010000101010
177,100101001010010010
178,100101001010000110
179,100101001001100010
180,100101001001001010
181,100101001000100110
182,100101001000011010
183,100101001000000010
184,100101000100101010
185,100101000001101010
186,100100101010010100
187,100100101010010001
188,100100101010000101
189,100100101001100100
190,100100101001100001
191,100100101001010010
192,100100101001000110
193,100100101000100101
194,100100101000010110
195,100100100110100001
196,100100100101101000
197,100100100101100010
198,100100100100101001
199,100100100100100000
200,100100100010100101
201,100100100001101001
202,100100100001100110
203,100100100001100000
204,100100100000100100
205,100100100000100001
206,100100011010010010
207,100100011010000110
208,100100011001100010
209,100100011001001010
210,100100011000100110
211,100100011000011010
212,100100011000000010
213,100100010100101010
214,100100010001101010
215,100100001010010110
216,100100001001100110
217,100100001001011010
218,100100001001000010
219,100100001000010010
220,100100001000000110
221,100100000101101010
222,100010100101100100
223,100010100101100001
224,100010100100100101
225,100010100001100101
226,100010011001100100
227,100010011001100001
228,100010011001010010
229,100010011001000110
230,100010011000100101
231,100010011000010110
232,100010010110010010
233,100010010110000110
234,100010010010010110
235,100010001001100101
236,100010001001010110
237,100010000110010110
238,100001101010010100
239,100001101010010001
240,100001101010000101
241,100001101001100100
242,100001101001010010
243,100001101001000110
244,100001101000100101
245,100001101000010110
246,100001100110100100
247,100001100110100001
248,100001100101101000
249,100001100101100010
250,100001100100101001
251,100001100100100110
252,100001100100100000
253,100001100010100101
254,100001100001100110
255,100001100001100000
256,100001100000100100
257,100001100000100001
258,100001011010010010
259,100001011010000110
260,100001011001100010
261,100001011001001010
262,100001011000100110
263,100001011000011010
264,100001011000000010
265,100001010100101010
266,100001010001101010
267,100001001010010110
268,100001001001100110
269,100001001001011010
270,100001001001000010
271,100001001000010010
272,100001001000000110
273,100001000101101010
274,100000101001100101
275,100000101001010110
276,100000100110100101
277,100000100101101001
278,100000100101100110
279,100000100101100000
280,100000100100100100
281,100000100100100001
282,100000100001100100
283,100000100001100001
284,100000100000100101
285,100000011010010110
286,100000011001100110
287,100000011001011010
